Neuron 0 → max=20.5010, min=0.0000, thr=18.4509
   Video 20, Frame 185, Value 17.3302
   Video 20, Frame 193, Value 17.9145
   Video 20, Frame 194, Value 17.3395
   Video 20, Frame 205, Value 17.4031
   Video 20, Frame 209, Value 18.0290
   Video 20, Frame 210, Value 18.2375
   Video 20, Frame 211, Value 18.7903
   Video 20, Frame 212, Value 17.8399
   Video 20, Frame 213, Value 17.6515
--------------------------------------------------
Neuron 34 → max=24.4794, min=0.0000, thr=22.0315
   Video 21, Frame 1290, Value 22.2494
   Video 29, Frame 2638, Value 22.3846
   Video 29, Frame 2641, Value 22.1897
   Video 29, Frame 2642, Value 22.2578
   Video 29, Frame 2645, Value 22.1123
   Video 29, Frame 2646, Value 22.0944
   Video 29, Frame 2662, Value 22.2458
   Video 29, Frame 2663, Value 22.0905
   Video 29, Frame 2668, Value 22.3780
   Video 29, Frame 2670, Value 22.5135
   Video 29, Frame 2673, Value 22.2033
   Video 29, Frame 2674, Value 22.1985
   Video 29, Frame 2675, Value 22.5171
   Video 29, Frame 2676, Value 23.3414
   Video 29, Frame 2677, Value 22.9164
   Video 29, Frame 2678, Value 22.7150
   Video 29, Frame 2679, Value 22.6108
   Video 29, Frame 2680, Value 22.6325
   Video 29, Frame 2681, Value 22.6419
   Video 29, Frame 2682, Value 22.5962
   Video 29, Frame 2696, Value 22.6456
   Video 29, Frame 2697, Value 22.9695
   Video 29, Frame 2698, Value 23.3936
   Video 29, Frame 2699, Value 23.4815
   Video 29, Frame 2700, Value 24.1266
   Video 29, Frame 2701, Value 23.8014
   Video 29, Frame 2702, Value 24.4794
   Video 29, Frame 2703, Value 24.2856
   Video 29, Frame 2704, Value 24.0383
   Video 29, Frame 2705, Value 23.4984
   Video 29, Frame 2706, Value 24.0125
--------------------------------------------------
Neuron 35 → max=10.8375, min=0.0000, thr=9.7537
   Video 4, Frame 1615, Value 9.8757
   Video 4, Frame 1617, Value 9.8881
   Video 6, Frame 4035, Value 10.4782
   Video 6, Frame 4072, Value 9.7759
   Video 8, Frame 2059, Value 10.1396
   Video 8, Frame 2071, Value 10.3452
   Video 8, Frame 2072, Value 10.5016
   Video 8, Frame 2073, Value 10.7698
   Video 8, Frame 2074, Value 10.1346
   Video 8, Frame 2075, Value 10.0854
   Video 8, Frame 2076, Value 10.2877
   Video 19, Frame 1110, Value 10.3831
   Video 19, Frame 1111, Value 10.1572
   Video 21, Frame 1089, Value 10.0649
   Video 21, Frame 1092, Value 9.8482
   Video 21, Frame 1093, Value 10.8287
   Video 21, Frame 1110, Value 10.2476
   Video 21, Frame 1111, Value 10.6943
   Video 21, Frame 1112, Value 9.8927
   Video 21, Frame 1113, Value 10.1802
   Video 21, Frame 1114, Value 10.2389
   Video 21, Frame 1115, Value 10.5883
   Video 21, Frame 1116, Value 9.9924
   Video 21, Frame 1121, Value 10.2727
   Video 21, Frame 1133, Value 10.2950
   Video 21, Frame 1134, Value 9.7616
   Video 21, Frame 1135, Value 10.1430
   Video 29, Frame 1918, Value 9.8907
   Video 29, Frame 2035, Value 10.0021
   Video 29, Frame 2036, Value 9.7836
   Video 29, Frame 2037, Value 10.1556
   Video 29, Frame 2191, Value 9.8634
   Video 33, Frame 1127, Value 10.5384
   Video 33, Frame 1129, Value 9.8019
   Video 33, Frame 1130, Value 10.1417
   Video 33, Frame 1134, Value 9.7839
   Video 33, Frame 1135, Value 9.8021
   Video 33, Frame 1138, Value 10.2164
   Video 33, Frame 1142, Value 10.8375
   Video 33, Frame 1143, Value 9.9648
   Video 34, Frame 1830, Value 9.7939
   Video 34, Frame 1834, Value 10.2511
   Video 34, Frame 1835, Value 10.6786
   Video 34, Frame 1836, Value 10.7273
   Video 34, Frame 1837, Value 10.8337
   Video 34, Frame 1838, Value 10.2807
   Video 37, Frame 2476, Value 9.9152
   Video 38, Frame 1488, Value 9.9957
   Video 38, Frame 1489, Value 9.8395
   Video 38, Frame 1490, Value 10.3725
   Video 38, Frame 1491, Value 9.9113
--------------------------------------------------
Neuron 36 → max=22.1735, min=0.0000, thr=19.9561
   Video 29, Frame 2632, Value 20.1629
   Video 29, Frame 2634, Value 20.6345
   Video 29, Frame 2635, Value 20.7863
   Video 29, Frame 2636, Value 21.2466
   Video 29, Frame 2637, Value 20.7666
   Video 29, Frame 2638, Value 21.0440
   Video 29, Frame 2639, Value 20.8033
   Video 29, Frame 2640, Value 20.3052
   Video 29, Frame 2641, Value 20.1766
   Video 29, Frame 2670, Value 20.1622
   Video 29, Frame 2673, Value 20.5691
   Video 29, Frame 2674, Value 20.3651
   Video 29, Frame 2675, Value 20.2607
   Video 29, Frame 2676, Value 20.5924
   Video 29, Frame 2677, Value 21.2204
   Video 29, Frame 2678, Value 21.4962
   Video 29, Frame 2679, Value 21.6989
   Video 29, Frame 2680, Value 21.4995
   Video 29, Frame 2681, Value 21.2851
   Video 29, Frame 2682, Value 20.8205
   Video 29, Frame 2683, Value 20.8626
   Video 29, Frame 2688, Value 20.5113
   Video 29, Frame 2689, Value 20.0778
   Video 29, Frame 2690, Value 20.0407
   Video 29, Frame 2691, Value 20.7616
   Video 29, Frame 2692, Value 20.5725
   Video 29, Frame 2695, Value 20.0433
   Video 29, Frame 2696, Value 22.1735
   Video 29, Frame 2697, Value 22.1266
   Video 29, Frame 2698, Value 21.8756
   Video 29, Frame 2699, Value 21.6827
   Video 29, Frame 2700, Value 21.9231
   Video 29, Frame 2701, Value 21.2369
   Video 29, Frame 2702, Value 22.0516
   Video 29, Frame 2703, Value 22.0362
   Video 29, Frame 2704, Value 21.9723
   Video 29, Frame 2705, Value 21.8606
   Video 29, Frame 2706, Value 20.8471
--------------------------------------------------
Neuron 37 → max=23.5294, min=0.0000, thr=21.1765
   Video 1, Frame 941, Value 21.4392
   Video 5, Frame 583, Value 21.5489
   Video 8, Frame 392, Value 21.8515
   Video 8, Frame 407, Value 21.6689
   Video 8, Frame 408, Value 22.0357
   Video 8, Frame 409, Value 21.4867
   Video 8, Frame 410, Value 22.7356
   Video 8, Frame 411, Value 22.0787
   Video 8, Frame 412, Value 21.7555
   Video 8, Frame 413, Value 21.2258
   Video 8, Frame 414, Value 21.6076
   Video 8, Frame 417, Value 21.2591
   Video 8, Frame 422, Value 21.3870
   Video 8, Frame 424, Value 21.3985
   Video 8, Frame 428, Value 21.5262
   Video 8, Frame 429, Value 21.4949
   Video 8, Frame 447, Value 21.3203
   Video 8, Frame 452, Value 21.6388
   Video 8, Frame 456, Value 22.7908
   Video 8, Frame 457, Value 22.6076
   Video 8, Frame 458, Value 22.7504
   Video 8, Frame 460, Value 23.2514
   Video 8, Frame 465, Value 21.5990
   Video 8, Frame 467, Value 21.5300
   Video 8, Frame 472, Value 22.1137
   Video 8, Frame 473, Value 21.8507
   Video 8, Frame 474, Value 22.2126
   Video 8, Frame 475, Value 22.3150
   Video 8, Frame 476, Value 21.7896
   Video 8, Frame 477, Value 22.0132
   Video 8, Frame 478, Value 21.5914
   Video 8, Frame 479, Value 22.2771
   Video 8, Frame 480, Value 22.5043
   Video 8, Frame 481, Value 21.9292
   Video 8, Frame 482, Value 21.8240
   Video 8, Frame 483, Value 22.9518
   Video 8, Frame 484, Value 22.0778
   Video 8, Frame 485, Value 22.5114
   Video 8, Frame 486, Value 23.2162
   Video 8, Frame 487, Value 21.6061
   Video 8, Frame 488, Value 23.1171
   Video 8, Frame 489, Value 22.0794
   Video 8, Frame 490, Value 22.8021
   Video 8, Frame 491, Value 22.0178
   Video 8, Frame 492, Value 22.2669
   Video 8, Frame 493, Value 22.4058
   Video 8, Frame 499, Value 21.3386
   Video 8, Frame 504, Value 21.7208
   Video 8, Frame 505, Value 21.1867
   Video 8, Frame 512, Value 21.9487
   Video 8, Frame 516, Value 21.5440
   Video 8, Frame 517, Value 21.1886
   Video 8, Frame 519, Value 21.7972
   Video 8, Frame 520, Value 22.0393
   Video 8, Frame 521, Value 22.0611
   Video 8, Frame 524, Value 21.7039
   Video 8, Frame 528, Value 21.9856
   Video 8, Frame 530, Value 21.5384
   Video 8, Frame 532, Value 21.6415
   Video 8, Frame 533, Value 21.6167
   Video 8, Frame 534, Value 21.4423
   Video 8, Frame 535, Value 22.1175
   Video 8, Frame 536, Value 21.6070
   Video 8, Frame 538, Value 22.6821
   Video 8, Frame 539, Value 21.4312
   Video 8, Frame 540, Value 21.3947
   Video 8, Frame 541, Value 22.5354
   Video 8, Frame 542, Value 21.8166
   Video 8, Frame 543, Value 21.6146
   Video 8, Frame 544, Value 22.4140
   Video 8, Frame 545, Value 21.7975
   Video 8, Frame 546, Value 21.2432
   Video 8, Frame 547, Value 22.5130
   Video 8, Frame 548, Value 21.8896
   Video 8, Frame 549, Value 21.2601
   Video 8, Frame 550, Value 22.1882
   Video 8, Frame 551, Value 21.7421
   Video 8, Frame 552, Value 22.2036
   Video 8, Frame 553, Value 22.6330
   Video 8, Frame 554, Value 21.7926
   Video 8, Frame 562, Value 21.3672
   Video 8, Frame 569, Value 21.5579
   Video 8, Frame 573, Value 21.3331
   Video 8, Frame 574, Value 22.4088
   Video 8, Frame 575, Value 21.7159
   Video 8, Frame 576, Value 23.5294
   Video 8, Frame 577, Value 21.5102
   Video 8, Frame 578, Value 22.1539
   Video 8, Frame 580, Value 21.3588
   Video 8, Frame 581, Value 21.3160
   Video 8, Frame 582, Value 21.4862
   Video 8, Frame 592, Value 21.1934
   Video 8, Frame 614, Value 21.3611
   Video 9, Frame 289, Value 21.3677
   Video 9, Frame 358, Value 21.2302
   Video 9, Frame 367, Value 21.2333
   Video 9, Frame 374, Value 21.4488
   Video 9, Frame 375, Value 21.6833
   Video 9, Frame 380, Value 21.3816
   Video 9, Frame 437, Value 21.4192
   Video 9, Frame 438, Value 21.9868
   Video 9, Frame 439, Value 21.9797
   Video 9, Frame 442, Value 21.1949
   Video 9, Frame 446, Value 22.5488
   Video 9, Frame 447, Value 22.3126
   Video 9, Frame 449, Value 21.3895
   Video 9, Frame 450, Value 21.3322
   Video 9, Frame 451, Value 21.7033
   Video 9, Frame 453, Value 21.2062
   Video 9, Frame 454, Value 22.3825
   Video 9, Frame 455, Value 21.2924
   Video 10, Frame 686, Value 22.2248
   Video 17, Frame 351, Value 21.6549
   Video 20, Frame 587, Value 21.5463
   Video 20, Frame 589, Value 22.2614
   Video 20, Frame 592, Value 21.5295
   Video 20, Frame 596, Value 21.2968
   Video 20, Frame 602, Value 21.5423
   Video 20, Frame 637, Value 21.2079
   Video 21, Frame 318, Value 21.3470
   Video 21, Frame 321, Value 21.8691
   Video 21, Frame 330, Value 21.6136
   Video 21, Frame 331, Value 21.4882
   Video 21, Frame 332, Value 22.8087
   Video 21, Frame 334, Value 21.1768
   Video 21, Frame 338, Value 22.1134
   Video 21, Frame 340, Value 22.0627
   Video 21, Frame 348, Value 21.6153
   Video 21, Frame 350, Value 21.6757
   Video 21, Frame 504, Value 21.2274
   Video 30, Frame 700, Value 21.4400
   Video 30, Frame 702, Value 21.3399
   Video 30, Frame 704, Value 21.6004
   Video 30, Frame 742, Value 22.2105
   Video 30, Frame 1057, Value 21.2455
   Video 30, Frame 1090, Value 21.3243
   Video 33, Frame 370, Value 21.7331
   Video 33, Frame 371, Value 21.5435
   Video 33, Frame 372, Value 22.5927
   Video 33, Frame 374, Value 21.3517
   Video 34, Frame 392, Value 22.0456
   Video 34, Frame 393, Value 21.2964
   Video 34, Frame 397, Value 21.6532
   Video 34, Frame 398, Value 21.4749
   Video 34, Frame 399, Value 21.2065
   Video 34, Frame 400, Value 21.5402
   Video 34, Frame 418, Value 21.8009
   Video 34, Frame 419, Value 21.2170
   Video 34, Frame 422, Value 22.0312
   Video 34, Frame 424, Value 21.6273
   Video 34, Frame 426, Value 22.9284
   Video 34, Frame 427, Value 21.1847
   Video 34, Frame 428, Value 22.0288
   Video 34, Frame 430, Value 21.2501
   Video 34, Frame 432, Value 22.3067
   Video 34, Frame 491, Value 21.4698
   Video 34, Frame 492, Value 22.1676
   Video 34, Frame 494, Value 21.1822
   Video 34, Frame 496, Value 21.6290
   Video 34, Frame 499, Value 22.3698
   Video 34, Frame 508, Value 21.6397
   Video 34, Frame 512, Value 21.4929
   Video 34, Frame 515, Value 21.5988
   Video 34, Frame 518, Value 21.3092
   Video 34, Frame 523, Value 21.2478
   Video 34, Frame 524, Value 22.0297
   Video 34, Frame 525, Value 22.1686
   Video 34, Frame 526, Value 22.6784
   Video 34, Frame 527, Value 22.0789
   Video 34, Frame 528, Value 21.8515
   Video 34, Frame 530, Value 22.0173
   Video 34, Frame 531, Value 21.4969
   Video 34, Frame 532, Value 21.8853
   Video 34, Frame 678, Value 22.4215
   Video 34, Frame 683, Value 21.3236
   Video 34, Frame 684, Value 21.7867
   Video 34, Frame 685, Value 21.2188
   Video 34, Frame 686, Value 22.4389
   Video 34, Frame 692, Value 21.6231
   Video 34, Frame 694, Value 21.5254
   Video 37, Frame 331, Value 21.3186
   Video 37, Frame 336, Value 21.2305
   Video 37, Frame 345, Value 21.5656
   Video 37, Frame 346, Value 21.4019
   Video 37, Frame 355, Value 21.3205
   Video 37, Frame 360, Value 21.2743
   Video 37, Frame 374, Value 22.3593
   Video 37, Frame 375, Value 21.2553
   Video 37, Frame 377, Value 21.5571
   Video 37, Frame 379, Value 22.7766
   Video 37, Frame 380, Value 21.6322
   Video 37, Frame 381, Value 21.9049
   Video 37, Frame 382, Value 22.1646
   Video 37, Frame 383, Value 22.4108
   Video 37, Frame 385, Value 21.9777
   Video 37, Frame 386, Value 21.7438
   Video 37, Frame 387, Value 22.4226
   Video 37, Frame 388, Value 21.4095
   Video 37, Frame 389, Value 22.0066
   Video 37, Frame 390, Value 22.0984
   Video 37, Frame 391, Value 22.7839
   Video 37, Frame 392, Value 21.9198
   Video 37, Frame 393, Value 21.4598
   Video 37, Frame 395, Value 22.4857
   Video 37, Frame 401, Value 21.7570
   Video 37, Frame 402, Value 21.6808
   Video 37, Frame 405, Value 21.8895
   Video 37, Frame 406, Value 21.8525
   Video 37, Frame 407, Value 22.0512
   Video 37, Frame 408, Value 21.7190
   Video 37, Frame 409, Value 22.1561
   Video 37, Frame 411, Value 21.3311
   Video 37, Frame 422, Value 21.4460
   Video 37, Frame 423, Value 21.2919
   Video 37, Frame 424, Value 22.2745
   Video 37, Frame 427, Value 21.9249
   Video 37, Frame 430, Value 22.1530
   Video 37, Frame 431, Value 21.3501
   Video 37, Frame 587, Value 21.4080
   Video 37, Frame 611, Value 21.6611
   Video 37, Frame 630, Value 21.4250
   Video 37, Frame 633, Value 21.2477
   Video 37, Frame 841, Value 21.2046
   Video 37, Frame 916, Value 21.6682
   Video 37, Frame 1539, Value 21.3580
   Video 37, Frame 1542, Value 21.2117
   Video 39, Frame 790, Value 21.9998
   Video 39, Frame 1045, Value 21.1944
--------------------------------------------------
Neuron 38 → max=21.1142, min=0.0000, thr=19.0028
   Video 15, Frame 1464, Value 19.9844
   Video 15, Frame 1465, Value 19.3615
   Video 15, Frame 1466, Value 19.2378
   Video 15, Frame 1467, Value 19.8554
   Video 15, Frame 1468, Value 19.8034
   Video 15, Frame 1469, Value 19.2000
   Video 15, Frame 1472, Value 19.7123
   Video 15, Frame 1488, Value 19.2435
   Video 15, Frame 1498, Value 19.5894
   Video 15, Frame 1499, Value 19.5532
   Video 17, Frame 926, Value 19.1217
   Video 17, Frame 927, Value 19.2317
   Video 17, Frame 928, Value 19.2581
   Video 17, Frame 929, Value 19.0570
   Video 17, Frame 931, Value 19.0384
   Video 17, Frame 933, Value 19.2545
   Video 17, Frame 934, Value 19.6240
   Video 17, Frame 935, Value 19.8143
   Video 17, Frame 936, Value 19.0654
   Video 17, Frame 937, Value 19.0627
   Video 17, Frame 939, Value 19.4756
   Video 17, Frame 940, Value 20.0690
   Video 17, Frame 941, Value 19.7196
   Video 17, Frame 942, Value 19.0395
   Video 17, Frame 943, Value 19.3568
   Video 17, Frame 944, Value 19.6617
   Video 17, Frame 945, Value 19.2950
   Video 17, Frame 946, Value 19.3020
   Video 17, Frame 947, Value 19.3325
   Video 17, Frame 948, Value 19.0849
   Video 17, Frame 949, Value 19.5818
   Video 20, Frame 181, Value 19.3092
   Video 20, Frame 210, Value 19.2345
   Video 20, Frame 709, Value 19.2066
   Video 20, Frame 850, Value 19.0324
   Video 20, Frame 854, Value 19.3402
   Video 20, Frame 856, Value 19.0600
   Video 21, Frame 492, Value 19.9922
   Video 21, Frame 495, Value 19.1892
   Video 21, Frame 500, Value 19.0184
   Video 21, Frame 502, Value 19.1826
   Video 21, Frame 503, Value 20.0622
   Video 21, Frame 504, Value 21.1142
   Video 30, Frame 3539, Value 19.0124
   Video 33, Frame 432, Value 19.0358
--------------------------------------------------
Neuron 39 → max=14.8471, min=0.0000, thr=13.3624
   Video 9, Frame 1573, Value 13.3655
   Video 9, Frame 1578, Value 13.6894
   Video 9, Frame 1661, Value 13.4840
   Video 9, Frame 1662, Value 13.7922
   Video 9, Frame 1663, Value 13.6290
   Video 9, Frame 1664, Value 13.9778
   Video 9, Frame 1665, Value 13.5409
   Video 9, Frame 1668, Value 13.6560
   Video 9, Frame 1670, Value 14.1574
   Video 9, Frame 1671, Value 14.1376
   Video 9, Frame 1672, Value 14.1388
   Video 9, Frame 1673, Value 14.8471
   Video 9, Frame 1674, Value 14.2715
   Video 9, Frame 1675, Value 13.6844
   Video 9, Frame 1677, Value 13.5885
   Video 9, Frame 1678, Value 13.8658
   Video 9, Frame 1686, Value 13.4529
   Video 9, Frame 1689, Value 13.4287
   Video 9, Frame 1698, Value 13.5382
   Video 9, Frame 1699, Value 13.8442
   Video 9, Frame 1700, Value 13.4357
   Video 9, Frame 1701, Value 14.0554
--------------------------------------------------
Neuron 40 → max=21.9982, min=0.0000, thr=19.7984
   Video 8, Frame 360, Value 20.1910
   Video 8, Frame 392, Value 20.2429
   Video 8, Frame 407, Value 20.1191
   Video 8, Frame 408, Value 20.3857
   Video 8, Frame 409, Value 20.2268
   Video 8, Frame 410, Value 20.9058
   Video 8, Frame 411, Value 20.7025
   Video 8, Frame 412, Value 20.1267
   Video 8, Frame 416, Value 19.9810
   Video 8, Frame 419, Value 19.8965
   Video 8, Frame 422, Value 20.2934
   Video 8, Frame 423, Value 19.8983
   Video 8, Frame 424, Value 20.0136
   Video 8, Frame 429, Value 19.8330
   Video 8, Frame 452, Value 20.9017
   Video 8, Frame 453, Value 20.3976
   Video 8, Frame 454, Value 19.9936
   Video 8, Frame 456, Value 21.6865
   Video 8, Frame 457, Value 21.0824
   Video 8, Frame 458, Value 20.8895
   Video 8, Frame 460, Value 21.9982
   Video 8, Frame 464, Value 20.2108
   Video 8, Frame 465, Value 20.7167
   Video 8, Frame 467, Value 20.0970
   Video 8, Frame 468, Value 20.2255
   Video 8, Frame 469, Value 20.2653
   Video 8, Frame 470, Value 20.0001
   Video 8, Frame 471, Value 19.8362
   Video 8, Frame 472, Value 21.0645
   Video 8, Frame 473, Value 20.8120
   Video 8, Frame 474, Value 21.3645
   Video 8, Frame 475, Value 21.4830
   Video 8, Frame 476, Value 21.0771
   Video 8, Frame 477, Value 20.8193
   Video 8, Frame 478, Value 19.9793
   Video 8, Frame 479, Value 20.5019
   Video 8, Frame 480, Value 20.6055
   Video 8, Frame 481, Value 20.1411
   Video 8, Frame 482, Value 20.0115
   Video 8, Frame 483, Value 21.2986
   Video 8, Frame 484, Value 20.1110
   Video 8, Frame 485, Value 20.6853
   Video 8, Frame 486, Value 21.6791
   Video 8, Frame 487, Value 20.1553
   Video 8, Frame 488, Value 21.4093
   Video 8, Frame 489, Value 20.3123
   Video 8, Frame 490, Value 20.6684
   Video 8, Frame 491, Value 20.6038
   Video 8, Frame 492, Value 20.3320
   Video 8, Frame 493, Value 20.2354
   Video 8, Frame 512, Value 19.9042
   Video 8, Frame 519, Value 19.8936
   Video 8, Frame 520, Value 20.0627
   Video 8, Frame 521, Value 20.0040
   Video 8, Frame 528, Value 20.1205
   Video 8, Frame 532, Value 20.3608
   Video 8, Frame 533, Value 19.8392
   Video 8, Frame 535, Value 20.4269
   Video 8, Frame 536, Value 20.2667
   Video 8, Frame 537, Value 19.8250
   Video 8, Frame 538, Value 20.7049
   Video 8, Frame 540, Value 19.9366
   Video 8, Frame 541, Value 20.6636
   Video 8, Frame 543, Value 20.0507
   Video 8, Frame 544, Value 20.5799
   Video 8, Frame 545, Value 20.0711
   Video 8, Frame 546, Value 20.4111
   Video 8, Frame 547, Value 20.8194
   Video 8, Frame 548, Value 20.2895
   Video 8, Frame 550, Value 20.8214
   Video 8, Frame 551, Value 20.3844
   Video 8, Frame 552, Value 20.6948
   Video 8, Frame 553, Value 21.0034
   Video 8, Frame 554, Value 20.7948
   Video 8, Frame 576, Value 20.0291
   Video 8, Frame 578, Value 20.2525
   Video 8, Frame 582, Value 20.1717
   Video 9, Frame 236, Value 20.3145
   Video 9, Frame 261, Value 20.8221
   Video 9, Frame 264, Value 20.5702
   Video 9, Frame 265, Value 20.9025
   Video 9, Frame 266, Value 20.3094
   Video 9, Frame 267, Value 20.4869
   Video 9, Frame 268, Value 20.3537
   Video 9, Frame 269, Value 20.5512
   Video 9, Frame 270, Value 20.5816
   Video 9, Frame 271, Value 20.2595
   Video 9, Frame 272, Value 20.7971
   Video 9, Frame 273, Value 20.7070
   Video 9, Frame 274, Value 19.8119
   Video 9, Frame 275, Value 19.9647
   Video 9, Frame 279, Value 20.1171
   Video 9, Frame 288, Value 20.1331
   Video 9, Frame 289, Value 20.0935
   Video 9, Frame 290, Value 20.2986
   Video 9, Frame 292, Value 21.0307
   Video 9, Frame 293, Value 20.2670
   Video 9, Frame 294, Value 20.8627
   Video 9, Frame 295, Value 20.0434
   Video 9, Frame 296, Value 21.0910
   Video 9, Frame 300, Value 20.2802
   Video 9, Frame 302, Value 20.1559
   Video 9, Frame 307, Value 20.1126
   Video 9, Frame 309, Value 20.7713
   Video 9, Frame 310, Value 20.7941
   Video 9, Frame 311, Value 20.2586
   Video 9, Frame 325, Value 20.7853
   Video 9, Frame 328, Value 20.7714
   Video 9, Frame 329, Value 20.8731
   Video 9, Frame 330, Value 20.8520
   Video 9, Frame 332, Value 20.0362
   Video 9, Frame 333, Value 19.8338
   Video 9, Frame 335, Value 20.6361
   Video 9, Frame 336, Value 20.1285
   Video 9, Frame 374, Value 19.8093
   Video 9, Frame 446, Value 19.8775
   Video 9, Frame 447, Value 19.9428
   Video 10, Frame 336, Value 19.9189
   Video 17, Frame 227, Value 19.9508
   Video 17, Frame 235, Value 20.3188
   Video 17, Frame 237, Value 19.8734
   Video 17, Frame 252, Value 19.8537
   Video 17, Frame 266, Value 19.8910
   Video 17, Frame 267, Value 20.1775
   Video 17, Frame 268, Value 20.3713
   Video 17, Frame 270, Value 20.0056
   Video 17, Frame 271, Value 19.9769
   Video 17, Frame 273, Value 20.0678
   Video 21, Frame 315, Value 20.2447
   Video 21, Frame 316, Value 19.8686
   Video 21, Frame 317, Value 20.3284
   Video 21, Frame 318, Value 20.7249
   Video 21, Frame 320, Value 20.5495
   Video 21, Frame 321, Value 21.4816
   Video 21, Frame 332, Value 20.1334
   Video 21, Frame 338, Value 20.3595
   Video 21, Frame 340, Value 20.2164
   Video 30, Frame 699, Value 20.0983
   Video 30, Frame 700, Value 20.2317
   Video 30, Frame 704, Value 19.9087
   Video 30, Frame 708, Value 20.0911
   Video 30, Frame 732, Value 19.9272
   Video 30, Frame 740, Value 20.7011
   Video 30, Frame 742, Value 21.1229
   Video 30, Frame 1057, Value 20.2417
   Video 30, Frame 1061, Value 19.8881
   Video 30, Frame 1090, Value 19.9375
   Video 33, Frame 372, Value 20.0000
   Video 34, Frame 422, Value 19.8425
   Video 34, Frame 426, Value 20.1946
   Video 34, Frame 428, Value 19.9543
   Video 37, Frame 368, Value 19.8095
   Video 37, Frame 371, Value 19.9775
   Video 37, Frame 374, Value 20.2323
   Video 37, Frame 375, Value 19.8653
   Video 37, Frame 379, Value 20.8406
   Video 37, Frame 381, Value 19.9746
   Video 37, Frame 382, Value 20.4684
   Video 37, Frame 383, Value 20.8854
   Video 37, Frame 385, Value 20.1631
   Video 37, Frame 386, Value 19.9122
   Video 37, Frame 387, Value 20.7670
   Video 37, Frame 389, Value 20.3066
   Video 37, Frame 390, Value 19.8582
   Video 37, Frame 391, Value 20.5475
   Video 37, Frame 392, Value 20.3684
   Video 37, Frame 395, Value 20.8772
   Video 37, Frame 401, Value 20.0675
   Video 37, Frame 405, Value 19.8700
   Video 37, Frame 407, Value 20.0872
   Video 37, Frame 408, Value 20.1353
   Video 37, Frame 409, Value 19.9627
   Video 37, Frame 424, Value 20.0547
   Video 37, Frame 611, Value 20.0499
   Video 37, Frame 914, Value 20.2518
   Video 37, Frame 916, Value 20.0864
--------------------------------------------------
Neuron 41 → max=25.6544, min=0.0000, thr=23.0890
   Video 6, Frame 2787, Value 23.3757
   Video 6, Frame 2788, Value 23.5863
   Video 6, Frame 2789, Value 23.2174
   Video 6, Frame 2794, Value 23.3849
   Video 6, Frame 2795, Value 23.3033
   Video 6, Frame 2796, Value 23.1377
   Video 6, Frame 2798, Value 23.8630
   Video 6, Frame 2800, Value 23.9173
   Video 6, Frame 2801, Value 23.4781
   Video 6, Frame 2802, Value 23.4188
   Video 6, Frame 2803, Value 23.4623
   Video 6, Frame 2804, Value 24.1709
   Video 6, Frame 2805, Value 24.1800
   Video 6, Frame 2806, Value 24.8309
   Video 6, Frame 2807, Value 24.3236
   Video 6, Frame 2808, Value 24.8525
   Video 6, Frame 2809, Value 24.1922
   Video 6, Frame 2810, Value 25.3969
   Video 6, Frame 2811, Value 24.9780
   Video 6, Frame 2812, Value 25.2844
   Video 6, Frame 2813, Value 23.5124
   Video 6, Frame 3300, Value 23.6056
   Video 6, Frame 3302, Value 23.1341
   Video 6, Frame 3305, Value 23.3357
   Video 6, Frame 3307, Value 23.8075
   Video 6, Frame 3308, Value 23.7296
   Video 6, Frame 3309, Value 23.3255
   Video 6, Frame 3310, Value 23.2174
   Video 6, Frame 3320, Value 23.4461
   Video 8, Frame 2053, Value 24.3221
   Video 8, Frame 2058, Value 23.1131
   Video 8, Frame 2071, Value 25.2328
   Video 8, Frame 2072, Value 24.2449
   Video 8, Frame 2073, Value 24.3761
   Video 8, Frame 2074, Value 24.7864
   Video 8, Frame 2075, Value 25.6544
   Video 8, Frame 2076, Value 24.5677
   Video 8, Frame 2077, Value 24.4625
   Video 8, Frame 2078, Value 23.2012
   Video 8, Frame 2082, Value 23.9209
   Video 8, Frame 2088, Value 23.7740
   Video 20, Frame 1075, Value 23.4104
   Video 20, Frame 1077, Value 23.6460
   Video 20, Frame 1078, Value 23.6822
   Video 20, Frame 1079, Value 24.6606
   Video 20, Frame 1082, Value 23.1149
   Video 20, Frame 1093, Value 23.4059
   Video 20, Frame 1095, Value 23.9022
   Video 21, Frame 988, Value 24.9242
   Video 25, Frame 1397, Value 23.7572
   Video 25, Frame 1404, Value 23.2724
   Video 25, Frame 1431, Value 23.2977
   Video 25, Frame 1463, Value 23.3958
   Video 25, Frame 1465, Value 23.5801
   Video 25, Frame 1467, Value 24.1997
   Video 25, Frame 1471, Value 23.5793
   Video 29, Frame 1823, Value 23.3704
   Video 29, Frame 1828, Value 23.1989
   Video 29, Frame 1845, Value 23.3794
   Video 35, Frame 2064, Value 23.1692
   Video 35, Frame 2072, Value 23.6042
   Video 35, Frame 2074, Value 23.3312
   Video 35, Frame 2075, Value 25.0541
   Video 35, Frame 2077, Value 23.9682
   Video 35, Frame 2124, Value 24.4686
   Video 35, Frame 2125, Value 24.0097
   Video 35, Frame 2126, Value 24.6279
   Video 35, Frame 2127, Value 24.6456
   Video 35, Frame 2159, Value 23.1648
--------------------------------------------------
Neuron 42 → max=23.3419, min=0.0000, thr=21.0077
